"","totphys_3m","totnonphys_3m","totwork_3m","totschool_3m","totother_3m","tothome_3m","totcon_all_3m","AGE_I","GENDER_I","INCOME_I","RACE_ETHNICITY_I","totphys","totnonphys","totwork","totschool","totother","tothome","totcon_all","WTFinal_US_M3_AbIGg"
"2675",1,0,0,0,0,1,1,4,1,8,1,3,2,0,0,3,2,5,21971.1804218286
"2676",5,12,0,0,11,6,17,4,1,6,2,7,4,0,0,8,3,11,8130.06820580881
"2677",15,18,30,0,0,3,33,2,2,2,3,2,0,0,0,0,2,2,10880.2958079837
"2678",2,3,0,0,5,0,5,6,2,6,2,0,2,0,0,2,0,2,4120.20170642735
"2679",0,7,5,0,0,2,7,5,1,7,1,0,1,0,0,0,1,1,42145.963965179
"2680",3,11,0,11,0,3,14,2,1,6,2,4,10,0,0,10,4,14,4044.85170603751
"2681",5,10,13,0,0,2,15,4,1,2,1,12,0,10,0,0,2,12,8636.52950125711
"2682",64,8,69,0,0,3,72,2,2,5,2,36,23,56,0,0,3,59,4900.6155792289
"2683",1,0,0,0,0,1,1,4,2,5,3,0,0,0,0,0,0,0,7959.09749235006
"2684",14,0,12,0,0,2,14,5,2,5,2,2,0,0,0,1,1,2,4091.67853773672
"2685",22,2,0,0,20,4,24,4,1,3,2,1,0,0,0,0,1,1,30079.8118854768
"2686",0,7,5,0,2,0,7,2,2,5,2,0,0,0,0,0,0,0,2784.8873734573
"2687",0,0,0,0,0,0,0,4,2,5,2,0,0,0,0,0,0,0,3058.04969243728
"2688",3,6,6,0,0,3,9,2,1,5,2,7,17,10,0,11,3,24,7134.08476641625
"2689",2,4,0,0,3,3,6,2,1,5,3,3,1,0,0,2,2,4,29166.357526581
"2690",1,2,0,0,1,2,3,5,2,4,2,20,28,0,46,0,2,48,1946.60318649901
"2691",1,0,0,0,0,1,1,4,2,3,2,1,1,0,0,0,2,2,4300.11975856202
"2692",3,0,0,0,2,1,3,6,2,4,2,3,0,0,0,0,3,3,5204.96290813345
"2693",2,3,0,0,5,0,5,5,2,4,3,2,1,0,0,0,3,3,6832.7137283789
"2694",11,41,50,0,0,2,52,2,1,4,2,1,2,0,0,2,1,3,7275.50409316019
"2695",35,0,30,0,5,0,35,6,2,2,2,7,0,0,0,5,2,7,19757.9403714556
"2696",0,0,0,0,0,0,0,6,1,8,2,1,0,0,0,0,1,1,14576.2495696984
"2697",1,0,0,0,0,1,1,4,2,7,2,1,2,0,0,0,3,3,4179.05739485878
"2698",2,0,0,0,2,0,2,6,1,6,2,0,1,0,0,0,1,1,2741.75490326223
"2699",11,15,22,0,0,4,26,4,1,6,4,3,0,0,0,0,3,3,8193.29411432159
"2700",3,2,0,0,0,5,5,6,2,6,2,2,2,0,0,3,1,4,3386.52536142467
"2701",1,19,18,0,0,2,20,2,1,6,2,1,55,55,0,0,1,56,9995.0049600795
"2702",3,0,0,0,0,3,3,3,2,5,2,3,1,0,0,1,3,4,3845.70131798034
"2703",0,0,0,0,0,0,0,6,1,7,2,0,0,0,0,0,0,0,13222.2550744699
"2704",9,0,5,0,0,4,9,2,2,3,1,3,0,0,0,0,3,3,12908.6742032816
"2705",3,8,8,0,0,3,11,3,2,6,2,4,9,8,0,0,5,13,10383.1292598524
"2706",0,4,3,0,0,1,4,4,1,3,3,0,3,2,0,0,1,3,114167.841688373
"2707",10,20,3,0,24,3,30,5,2,6,2,4,4,4,0,0,4,8,4794.8865168661
"2708",1,0,0,0,0,1,1,5,2,6,2,1,0,0,0,0,1,1,2979.90376562348
"2709",10,0,0,0,0,10,10,5,2,8,2,2,0,0,0,0,2,2,11715.1794113782
"2710",2,7,0,0,2,7,9,2,2,6,2,2,0,0,0,0,2,2,8290.06421664688
"2711",21,4,0,0,25,0,25,6,2,8,2,2,30,0,0,31,1,32,13256.3920746781
"2712",0,12,0,0,12,0,12,6,2,5,2,1,0,0,0,0,1,1,1817.23827748251
"2713",3,0,0,0,3,0,3,6,2,5,2,0,2,0,0,2,0,2,5113.54163585629
"2714",0,1,0,0,0,1,1,5,2,5,3,0,0,0,0,0,0,0,15840.8358376312
"2715",11,10,18,0,0,3,21,3,2,6,2,3,0,0,0,0,3,3,5937.37437966234
"2716",1,0,0,0,0,1,1,5,1,5,2,1,0,0,0,0,1,1,3845.63404470275
"2717",3,3,3,0,0,3,6,5,2,5,2,0,5,5,0,0,0,5,5157.09643989253
"2718",7,2,0,0,8,1,9,6,1,7,2,5,0,0,0,0,5,5,12836.6807760752
"2719",1,8,9,0,0,0,9,5,2,3,3,2,2,0,0,4,0,4,10261.2039587774
"2720",2,3,2,0,2,1,5,2,2,4,2,3,4,3,0,0,4,7,4942.47760691647
"2721",3,20,20,0,1,2,23,1,2,3,3,1,18,18,0,0,1,19,15268.8256114184
"2722",2,2,2,0,0,2,4,3,2,5,4,2,5,5,0,0,2,7,5353.2883520799
"2723",2,5,5,0,1,1,7,6,2,6,2,0,3,0,0,3,0,3,7894.7917655796
"2724",2,3,0,0,2,3,5,3,2,6,1,0,1,0,0,1,0,1,14113.0283402454
"2725",2,0,1,0,0,1,2,5,2,7,2,1,0,0,0,0,1,1,15920.4628050495
"2726",1,2,0,0,0,3,3,6,1,4,2,1,0,0,0,0,1,1,2723.81393962174
"2727",1,2,0,0,3,0,3,6,2,3,2,0,0,0,0,0,0,0,3312.39425842496
"2728",3,1,0,0,4,0,4,5,1,6,2,1,0,0,0,0,1,1,8856.0872391876
"2729",3,2,0,0,0,5,5,3,2,6,2,5,2,0,0,4,3,7,5937.37437966234
"2730",4,12,12,0,3,1,16,2,2,5,2,3,0,2,0,0,1,3,8622.54772335717
"2731",2,3,0,0,3,2,5,6,1,5,2,2,0,0,0,0,2,2,3018.31035089984
"2732",5,0,0,0,0,5,5,2,2,3,2,8,5,0,0,10,3,13,8932.65957938855
"2733",1,0,0,0,0,1,1,6,1,3,2,1,4,0,0,4,1,5,3067.62324750889
"2734",1,0,0,0,0,1,1,6,1,8,2,2,2,0,0,3,1,4,5898.82327973893
"2735",10,5,0,0,15,0,15,6,2,8,2,1,3,0,0,3,1,4,13256.3920746781
"2736",31,21,30,0,20,2,52,2,2,5,2,1,1,0,0,0,2,2,5369.56385861484
"2737",5,1,0,0,5,1,6,2,2,3,2,3,7,0,0,9,1,10,6001.00949608116
"2738",1,2,0,0,2,1,3,5,2,3,1,5,7,11,0,0,1,12,3645.22340714112
"2739",0,0,0,0,0,0,0,5,2,5,2,0,0,0,0,0,0,0,26515.6634346735
"2740",2,0,0,0,0,2,2,3,1,5,1,5,0,0,0,3,2,5,11119.0331211837
"2741",8,60,65,0,0,3,68,4,2,4,2,0,86,86,0,0,0,86,1911.04064319516
"2742",0,0,0,0,0,0,0,2,1,3,2,0,7,0,0,4,3,7,10917.4962098121
"2743",5,3,0,0,1,7,8,2,1,3,3,1,0,0,0,0,1,1,95575.1299620786
"2744",1,0,0,0,0,1,1,5,1,5,2,0,0,0,0,0,0,0,1556.27931037946
"2745",2,0,0,0,1,1,2,3,2,4,1,4,9,11,0,0,2,13,2726.07379330735
"2746",4,180,94,90,0,0,184,5,2,3,2,0,1,0,0,0,1,1,2681.83588276758
"2747",11,20,26,0,3,2,31,1,2,4,2,17,12,28,0,0,1,29,9916.85029508486
"2748",1,1,0,0,0,2,2,6,1,7,2,0,2,0,0,2,0,2,5194.8418579428
"2749",1,3,1,0,1,2,4,6,1,6,2,10,0,0,0,10,0,10,6774.99593286056
"2750",3,3,0,0,3,3,6,3,2,7,2,3,0,0,0,0,3,3,8456.39853883997
"2751",2,0,0,0,0,2,2,6,2,6,2,5,2,0,0,5,2,7,12500.5929016484
"2752",0,4,0,0,3,1,4,5,2,1,1,0,2,0,0,0,2,2,4560.03764738884
"2753",1,5,1,0,4,1,6,5,1,6,2,1,3,0,0,3,1,4,14614.8739099398
"2754",1,4,4,0,0,1,5,2,2,6,1,4,2,0,0,5,1,6,38691.5838687492
"2755",0,4,0,0,4,0,4,6,1,4,2,0,0,0,0,0,0,0,5079.74491193458
"2756",0,22,12,0,10,0,22,6,1,3,2,0,0,0,0,0,0,0,3159.76518840703
"2757",0,0,0,0,0,0,0,5,1,5,2,1,1,0,0,1,1,2,10806.2995471048
"2758",0,1,0,0,0,1,1,5,2,1,3,2,1,0,0,2,1,3,7816.47354828751
"2759",0,0,0,0,0,0,0,5,1,1,2,0,1,0,0,0,1,1,1787.03294141749
"2760",0,0,0,0,0,0,0,5,1,2,2,1,0,0,0,0,1,1,2043.81146039821
"2761",1,3,0,0,3,1,4,5,1,7,2,1,2,0,0,2,1,3,16779.7539572138
"2762",7,0,0,0,0,7,7,2,2,4,5,11,1,0,0,1,11,12,47085.182234547
"2763",4,1,0,0,2,3,5,3,2,5,2,8,1,0,0,6,3,9,6754.14107988722
"2764",0,23,20,0,0,3,23,4,2,4,2,1,0,0,0,0,1,1,8514.70834306674
"2765",1,0,0,0,0,1,1,6,2,6,2,3,1,0,0,3,1,4,10828.0040330838
"2766",13,20,0,0,30,3,33,4,2,2,2,28,3,0,0,28,3,31,4918.99397634158
"2767",8,0,0,0,8,0,8,6,2,6,2,5,2,0,0,2,5,7,3371.93066147568
"2768",1,0,0,0,0,1,1,2,2,7,2,1,0,0,0,0,1,1,7337.91723725269
"2769",3,80,80,0,2,1,83,5,1,5,3,5,6,0,0,10,1,11,21217.1621567363
"2770",1,3,0,0,3,1,4,6,2,6,2,1,1,0,0,1,1,2,5425.68691346121
"2771",0,1,0,0,1,0,1,6,2,3,2,0,0,0,0,0,0,0,1177.15080176817
"2772",2,0,0,0,0,2,2,3,2,6,2,2,0,0,0,0,2,2,7914.92774866825
"2773",2,1,0,0,3,0,3,5,2,5,2,0,16,15,0,1,0,16,2584.11343216072
"2774",31,1,5,26,0,1,32,6,2,5,2,0,2,0,0,2,0,2,1882.51546985683
"2775",20,8,0,0,17,11,28,6,1,6,2,10,0,0,0,0,10,10,6774.99593286056
"2776",3,3,0,0,5,1,6,5,2,6,3,1,0,0,0,0,1,1,33443.5299610721
"2777",3,0,0,0,0,3,3,3,2,4,3,4,2,0,0,2,4,6,13555.3184140007
"2778",3,1,1,0,0,3,4,3,2,3,2,6,2,2,0,5,1,8,12966.4836107406
"2779",5,0,0,0,5,0,5,5,2,8,2,1,0,0,0,0,1,1,7280.69519896322
"2780",0,3,0,0,3,0,3,6,2,1,2,0,2,0,0,2,0,2,1575.97950515443
"2781",0,0,0,0,0,0,0,1,1,6,1,3,1,0,0,1,3,4,300801.53127473
"2782",4,2,0,0,0,6,6,5,1,8,2,4,2,0,0,5,1,6,19053.6701554764
"2783",58,27,40,0,30,15,85,5,1,5,3,16,3,15,0,0,4,19,21096.6456151419
"2784",1,6,0,0,6,1,7,5,1,2,2,1,0,0,0,0,1,1,3027.73737679188
"2785",0,1,0,0,1,0,1,1,2,7,5,0,0,0,0,0,0,0,36789.0111662309
"2786",1,24,24,0,0,1,25,5,2,6,2,0,7,0,0,6,1,7,9569.12025535299
"2787",24,3,0,0,24,3,27,4,1,6,2,11,29,30,0,6,4,40,10711.1535502902
"2788",3,5,1,0,5,2,8,4,2,7,2,5,5,0,0,0,10,10,8347.11484932104
"2789",0,0,0,0,0,0,0,5,2,1,2,0,1,0,0,0,1,1,1392.75321275434
"2790",2,2,2,0,0,2,4,4,2,3,2,1,0,0,0,0,1,1,2373.66839162
"2791",3,2,0,0,3,2,5,5,2,8,2,1,3,0,0,3,1,4,73286.3779486155
"2792",4,25,24,0,0,5,29,3,2,5,2,1,1,0,0,1,1,2,3845.70131798034
"2793",4,12,10,0,4,2,16,6,2,8,2,1,3,0,0,3,1,4,13256.3920746781
"2794",1,181,180,0,0,2,182,5,2,5,2,1,4,0,0,3,2,5,3099.4165736985
"2795",0,0,0,0,0,0,0,5,2,6,2,5,0,0,0,0,5,5,29995.2611186201
"2796",0,1,0,0,0,1,1,6,1,3,2,1,0,0,0,0,1,1,8321.16992223522
"2797",36,512,545,0,2,1,548,4,2,7,2,31,250,280,0,0,1,281,8057.67434776115
"2798",4,4,2,2,2,2,8,3,1,3,3,2,1,0,0,0,3,3,30981.4436746832
"2799",49,1,32,0,17,1,50,6,1,3,2,0,0,0,0,0,0,0,5042.3292884723
"2800",2,0,0,0,2,0,2,6,1,3,2,2,1,0,0,1,2,3,4504.94754983793
"2801",9,0,5,0,0,4,9,4,1,3,1,4,0,4,0,0,0,4,15522.1105481629
"2802",0,0,0,0,0,0,0,6,1,4,2,1,1,0,0,1,1,2,40297.4030952876
"2803",2,0,0,0,0,2,2,2,1,1,2,1,1,0,0,2,0,2,3507.37683338021
"2804",0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,1972.71049978535
"2805",1,3,0,0,2,2,4,5,2,4,2,3,0,0,0,0,3,3,5477.56261024993
"2806",1,5,0,0,4,2,6,5,1,1,2,1,0,0,0,0,1,1,3130.7027281182
"2807",2,2,0,0,0,4,4,5,2,6,2,2,2,0,0,1,3,4,11047.2508482266
"2808",0,6,6,0,0,0,6,5,1,7,2,0,21,19,0,0,2,21,10208.3700571296
"2809",3,20,0,0,22,1,23,6,1,4,2,1,4,0,0,0,5,5,41507.8127951652
"2810",1,1,0,0,1,1,2,5,2,3,2,1,0,0,0,0,1,1,2011.77624943987
"2811",3,8,0,0,5,6,11,6,2,7,2,1,0,0,0,0,1,1,4802.52510544808
"2812",3,3,0,0,6,0,6,6,2,6,2,0,4,0,0,4,0,4,5425.68691346121
"2813",1,0,0,0,0,1,1,6,2,4,2,4,0,0,0,0,4,4,22171.9675539578
"2814",5,3,0,0,7,1,8,6,2,3,2,25,2,11,8,0,8,27,5306.9185262501
"2815",0,1,0,0,0,1,1,5,2,3,2,0,0,0,0,0,0,0,1673.90882979965
"2816",1,0,0,0,0,1,1,6,1,3,2,1,0,0,0,0,1,1,5042.3292884723
"2817",71,0,9,0,60,2,71,1,2,2,4,7,71,41,0,35,2,78,21658.9623497739
"2818",0,20,10,0,10,0,20,1,1,3,2,1,1,0,0,0,2,2,5885.76585291289
"2819",0,1,0,0,1,0,1,2,1,2,5,0,1,0,0,1,0,1,20302.0897298462
"2820",1,0,0,0,0,1,1,1,2,3,2,1,1,0,0,1,1,2,4869.80082454073
"2821",18,55,70,0,2,1,73,2,2,2,2,14,30,44,0,0,0,44,5002.57485948115
"2822",1,17,11,0,6,1,18,1,2,1,2,4,13,10,0,0,7,17,5338.20962163913
"2823",1,2,0,0,2,1,3,3,1,6,2,2,1,0,0,0,3,3,7816.04088078306
"2824",5,10,0,0,12,3,15,2,2,6,2,2,10,11,0,0,1,12,12174.3452397911
"2825",1,3,0,0,3,1,4,4,2,8,2,1,5,0,0,5,1,6,8590.3967042111
"2826",1,1,0,0,0,2,2,6,2,6,2,0,5,0,0,5,0,5,2805.63234071772
"2827",2,4,0,0,4,2,6,4,1,2,5,3,15,0,0,18,0,18,20185.9242486211
"2828",1,1,0,0,0,2,2,5,1,1,2,0,2,0,0,2,0,2,8624.59142594342
"2829",0,0,0,0,0,0,0,6,2,6,2,1,1,0,0,1,1,2,9488.30323702129
"2830",1,11,10,0,0,2,12,5,2,4,2,1,10,10,0,0,1,11,5477.56261024993
"2831",0,1,0,0,1,0,1,5,2,4,2,0,2,0,0,1,1,2,1624.50909950583
"2832",2,1,0,0,0,3,3,5,1,4,2,1,0,0,0,0,1,1,3921.86624481139
"2833",1,1,0,0,0,2,2,5,2,6,2,0,0,0,0,0,0,0,6317.13836074267
"2834",10,2,0,2,0,10,12,2,1,4,2,1,2,0,0,0,3,3,157543.618637656
"2835",3,2,2,0,0,3,5,3,2,7,2,2,1,0,1,0,2,3,8456.39853883997
"2836",3,0,0,0,0,3,3,3,2,6,2,4,11,0,0,12,3,15,3689.93180748646
"2837",0,19,6,0,13,0,19,4,2,5,2,1,1,0,0,1,1,2,14978.6070367954
"2838",3,0,0,0,0,3,3,6,1,2,2,0,0,0,0,0,0,0,1198.93105999747
"2839",25,0,0,0,0,25,25,3,2,3,2,2,4,0,0,3,3,6,4356.41860685535
"2840",3,7,0,0,7,3,10,2,2,4,2,3,0,0,0,0,3,3,5415.4317352694
"2841",19,43,0,61,0,1,62,5,2,8,2,3,7,6,0,0,4,10,7280.69519896322
"2842",4,0,1,0,3,0,4,6,1,4,2,52,62,6,0,106,2,114,2055.70832184065
"2843",3,0,0,0,0,3,3,5,2,4,2,30,0,0,0,0,30,30,7216.54637015174
"2844",2,5,6,0,0,1,7,3,2,4,2,2,0,0,0,0,2,2,14349.6762474312
"2845",6,5,11,0,0,0,11,2,2,3,2,1,4,4,0,1,0,5,2902.7120565884
"2846",0,2,0,0,2,0,2,6,2,2,2,0,0,0,0,0,0,0,3936.92404085955
"2847",1,0,0,0,0,1,1,1,2,2,2,1,0,0,0,0,1,1,3443.3886601539
"2848",1,0,0,0,0,1,1,6,1,2,2,7,3,0,0,3,7,10,18926.6303577181
"2849",0,5,4,0,0,1,5,3,2,4,2,0,4,3,0,0,1,4,7740.39822261151
"2850",1,0,0,0,0,1,1,6,2,6,2,1,0,0,0,0,1,1,5425.68691346121
"2851",5,20,22,0,0,3,25,4,2,8,2,3,15,15,0,0,3,18,8590.3967042111
"2852",4,16,0,0,16,4,20,5,1,8,2,8,0,0,0,0,8,8,94719.0654981544
"2853",1,2,0,0,2,1,3,2,1,5,2,0,27,25,0,0,2,27,11773.1167848749
"2854",1,0,0,0,0,1,1,6,2,6,2,0,0,0,0,0,0,0,9829.13349763351
"2855",1,2,1,0,0,2,3,2,2,6,3,1,0,0,0,0,1,1,18006.1929351556
"2856",1,10,10,0,0,1,11,3,2,4,3,2,0,0,0,0,2,2,11278.7727712061
"2857",4,11,12,0,0,3,15,2,1,6,2,1,5,0,0,4,2,6,27112.2389993442
"2858",2,0,0,0,0,2,2,6,2,4,2,0,50,0,0,50,0,50,13838.9722134304
"2859",7,0,0,0,5,2,7,5,2,6,3,25,0,21,0,0,4,25,22078.0385655152
"2860",0,0,0,0,0,0,0,3,1,4,2,0,0,0,0,0,0,0,5893.77531391874
"2861",1,4,0,0,4,1,5,4,2,4,2,2,2,0,0,3,1,4,1985.5882587512
"2862",1,0,0,0,0,1,1,6,1,1,2,1,0,0,0,0,1,1,2457.18452146685
"2863",0,0,0,0,0,0,0,5,2,3,2,0,0,0,0,0,0,0,3340.60771459491
