"","totphys_3m","totnonphys_3m","totwork_3m","totschool_3m","totother_3m","tothome_3m","totcon_all_3m","AGE_I","GENDER_I","INCOME_I","RACE_ETHNICITY_I","totphys","totnonphys","totwork","totschool","totother","tothome","totcon_all","WTFinal_US_M3_AbIGg"
"1",1,2,0,0,1,2,3,6,1,6,2,1,2,0,0,2,1,3,54109.0590397888
"2",4,0,0,0,0,4,4,2,2,3,3,6,1,0,0,1,6,7,364011.324313956
"3",5,4,0,0,4,5,9,5,1,6,2,3,6,0,0,6,3,9,55807.3233239448
"4",2,2,0,0,4,0,4,5,1,6,2,0,2,0,0,2,0,2,46635.2658818798
"5",0,1,0,0,0,1,1,4,2,6,2,1,0,0,0,0,1,1,38021.9518633931
"6",0,1,0,0,1,0,1,3,2,5,2,1,3,0,0,4,0,4,53672.0608752985
"7",0,6,6,0,0,0,6,6,2,3,2,0,5,5,0,0,0,5,123399.647082596
"8",1,0,0,0,0,1,1,6,1,3,2,1,1,0,0,1,1,2,21122.851442336
"9",1,0,0,0,0,1,1,6,1,6,2,0,1,0,0,0,1,1,18443.6369449211
"10",0,1,1,0,0,0,1,4,1,8,2,0,0,0,0,0,0,0,129991.336772974
"11",0,0,0,0,0,0,0,5,2,1,2,0,0,0,0,0,0,0,77436.8495450611
"12",0,0,0,0,0,0,0,6,1,5,2,0,1,0,0,0,1,1,336105.589868229
"13",2,0,0,0,0,2,2,5,2,3,2,1,0,0,0,0,1,1,142352.919679542
"14",2,0,0,0,0,2,2,3,2,4,4,2,0,0,0,0,2,2,98983.0643562624
"15",1,0,0,0,0,1,1,5,2,1,2,1,0,0,0,0,1,1,133488.254893382
"16",0,10,0,0,10,0,10,5,2,3,2,0,5,0,0,5,0,5,25676.9550340999
"17",0,0,0,0,0,0,0,4,2,6,2,6,41,46,0,0,1,47,37833.7923086166
"18",1,2,1,0,0,2,3,4,2,7,2,2,3,0,0,5,0,5,161534.30649157
"19",8,3,0,0,0,11,11,2,2,2,2,7,10,0,0,10,7,17,81684.7101541324
"20",1,0,0,0,0,1,1,6,1,5,2,1,0,0,0,0,1,1,19012.9443766639
"21",7,0,0,0,0,7,7,2,1,3,2,5,2,2,0,0,5,7,230472.284594723
"22",1,2,0,0,2,1,3,4,1,8,1,0,1,0,0,1,0,1,428450.499839829
"23",1,0,0,0,0,1,1,6,1,6,2,1,0,0,0,0,1,1,195019.714813798
"24",1,2,0,0,2,1,3,5,2,6,2,1,1,0,0,0,2,2,51629.0857659355
"25",2,17,0,0,15,4,19,5,2,3,2,4,1,0,0,1,4,5,142352.919679542
"26",3,0,0,0,0,3,3,3,2,6,2,3,9,0,0,9,3,12,74122.98479219
"27",0,11,0,0,10,1,11,4,2,8,2,4,3,0,0,3,4,7,178761.692056438
"28",3,0,0,0,0,3,3,3,1,6,2,3,2,0,0,2,3,5,301748.391710554
"29",2,0,0,0,1,1,2,4,2,6,2,14,0,0,0,0,14,14,73528.9523347493
"30",3,3,0,0,3,3,6,3,2,6,2,8,7,11,0,0,4,15,49680.3552869555
"31",4,7,6,0,0,5,11,2,1,6,2,10,0,0,0,6,4,10,197253.34049533
"32",2,4,0,0,6,0,6,6,2,3,2,2,1,0,0,0,3,3,299339.885907448
"33",5,4,3,0,2,4,9,5,1,4,2,3,8,8,0,3,0,11,81605.5148103675
"34",5,1,0,0,2,4,6,3,2,1,2,0,1,0,0,0,1,1,20640.9601304884
"35",3,1,0,0,0,4,4,3,2,3,2,2,4,3,0,0,3,6,121565.681727042
"36",14,0,0,0,9,5,14,4,1,6,2,4,11,0,0,7,8,15,40435.1014187876
"37",6,3,0,0,0,9,9,4,1,7,3,3,0,0,0,0,3,3,408032.638002313
"38",1,11,10,0,0,2,12,2,2,4,2,1,5,5,0,0,1,6,58423.9842184866
"39",1,0,0,0,0,1,1,4,2,3,2,1,0,0,0,0,1,1,73631.2684459317
"40",0,2,0,0,2,0,2,4,2,8,2,2,15,15,0,0,2,17,189654.336324428
"41",0,2,0,0,2,0,2,5,2,5,3,0,0,0,0,0,0,0,72948.3130537402
"42",6,0,0,0,0,6,6,4,1,5,2,1,14,11,0,2,2,15,92706.0215294342
"43",1,2,0,0,2,1,3,6,2,2,2,16,10,0,0,26,0,26,42940.1001389558
"44",0,3,0,0,3,0,3,5,2,3,2,0,2,0,0,2,0,2,60954.4895733083
"45",0,0,0,0,0,0,0,6,1,2,2,1,0,0,0,0,1,1,292875.34687574
"46",3,1,0,0,0,4,4,3,2,7,2,2,0,0,0,0,2,2,32197.2202339242
"47",1,5,1,0,4,1,6,4,2,5,2,1,8,2,0,3,4,9,60269.8819983013
"48",1,0,0,0,0,1,1,6,1,6,2,1,0,0,0,0,1,1,51970.0816910407
"49",0,0,0,0,0,0,0,6,2,2,2,1,3,0,0,3,1,4,154001.28997415
"50",4,0,0,0,0,4,4,5,1,5,2,0,5,0,0,1,4,5,25198.480769724
"51",0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,153604.359044416
"52",7,5,6,2,0,4,12,3,2,8,2,4,0,0,0,0,4,4,195313.111155427
"53",5,30,17,0,2,16,35,5,2,3,2,6,20,0,0,26,0,26,13520.5818438087
"54",1,0,0,0,0,1,1,3,1,3,2,1,0,0,0,0,1,1,25848.2931258368
"55",0,0,0,0,0,0,0,4,2,5,2,0,4,0,0,4,0,4,23726.1302067453
"56",1,5,0,0,0,6,6,4,2,8,2,1,1,0,0,1,1,2,253416.855462057
"57",3,0,0,0,2,1,3,1,2,6,2,15,18,0,3,20,10,33,270083.185507543
"58",1,1,0,0,0,2,2,5,2,6,2,1,0,0,0,0,1,1,168189.684486671
"59",0,0,0,0,0,0,0,6,2,3,2,0,0,0,0,0,0,0,3238.25594841509
"60",2,1,0,0,1,2,3,6,1,2,2,2,0,0,0,0,2,2,21940.9268218364
"61",0,1,0,0,0,1,1,5,1,2,2,0,1,0,0,0,1,1,29359.6804289704
"62",2,3,0,0,3,2,5,4,2,7,2,5,25,0,0,0,30,30,68707.9641597939
"63",4,0,0,0,0,4,4,2,1,6,2,9,4,0,0,4,9,13,122836.595643959
"64",0,0,0,0,0,0,0,6,1,7,2,0,0,0,0,0,0,0,142535.433173356
"65",0,6,0,0,5,1,6,5,1,2,2,0,4,0,0,0,4,4,241339.674238353
"66",5,5,0,0,10,0,10,6,2,3,3,0,1,0,0,0,1,1,120562.856340658
"67",5,3,0,0,5,3,8,4,1,8,2,3,37,0,0,34,6,40,112826.948165255
"68",6,8,0,0,11,3,14,2,2,4,2,12,11,0,0,11,12,23,165289.73775646
"69",1,0,0,0,0,1,1,6,1,4,2,1,0,0,0,0,1,1,30735.754614758
"70",7,3,0,0,8,2,10,5,2,7,2,1,1,0,0,1,1,2,48007.1180958454
"71",60,2,0,0,21,41,62,1,2,1,4,3,2,0,0,0,5,5,533968.645704513
"72",2,1,0,0,1,2,3,6,1,5,2,4,2,0,0,1,5,6,9816.54975217356
"73",1,12,7,0,4,2,13,2,2,5,2,0,0,0,0,0,0,0,67034.3614504287
"74",1,0,0,0,0,1,1,5,1,6,2,1,1,0,0,1,1,2,44999.7713802107
"75",1,30,30,0,0,1,31,1,2,4,2,2,10,0,0,12,0,12,134222.981039511
"76",6,5,0,0,6,5,11,3,1,6,2,12,15,24,0,0,3,27,221093.62998104
"77",0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,31860.4155221991
"78",3,0,0,0,0,3,3,4,1,8,2,3,14,14,0,0,3,17,112826.948165255
"79",0,2,0,0,2,0,2,6,2,2,2,1,0,0,0,1,0,1,50763.2692418264
"80",1,8,8,0,0,1,9,6,1,4,2,1,2,0,0,2,1,3,63891.1374599018
"81",2,0,0,0,0,2,2,6,2,2,2,2,5,0,0,5,2,7,243216.745589732
"82",1,0,0,0,0,1,1,6,1,4,2,1,0,0,0,0,1,1,15578.7689094531
"83",1,0,0,0,0,1,1,6,1,8,2,1,0,0,0,0,1,1,94021.6115764588
"84",1,3,0,0,3,1,4,2,2,1,2,0,1,0,0,1,0,1,10641.4965279312
"85",0,1,1,0,0,0,1,5,1,7,2,0,0,0,0,0,0,0,143385.674564015
"86",4,3,0,0,1,6,7,3,1,6,2,9,0,0,0,0,9,9,221093.62998104
"87",1,3,2,0,1,1,4,5,1,3,1,0,3,0,0,2,1,3,156007.156425209
"88",15,4,0,0,14,5,19,3,2,4,2,60,52,65,0,40,7,112,404993.00261103
"89",2,0,0,0,0,2,2,2,2,8,2,2,3,0,2,1,2,5,135803.354113782
"90",3,0,0,0,0,3,3,1,2,5,2,37,15,30,0,19,3,52,83589.6889993269
"91",1,27,27,0,0,1,28,6,2,7,2,1,0,0,0,0,1,1,62417.9238366935
"92",1,3,0,0,4,0,4,5,2,3,2,1,1,0,0,2,0,2,60241.4247119904
"93",6,11,10,0,5,2,17,3,2,2,2,68,43,106,0,0,5,111,360755.681184505
"94",2,6,0,0,8,0,8,6,1,6,2,0,0,0,0,0,0,0,33695.6149348611
"95",5,0,0,0,0,5,5,5,1,6,2,3,0,2,0,0,1,3,110755.860092002
"96",0,202,200,0,1,1,202,5,2,3,3,0,3,0,0,1,2,3,99043.3197364778
"97",3,0,0,0,0,3,3,2,2,1,3,0,0,0,0,0,0,0,60233.6645626692
"98",2,5,5,0,2,0,7,4,2,7,2,0,1,0,0,0,1,1,54936.4464515548
"99",3,1,0,0,1,3,4,4,1,7,2,3,2,1,0,1,3,5,99361.8769773944
"100",0,2,0,0,2,0,2,6,2,3,2,0,0,0,0,0,0,0,41475.6387421452
"101",16,37,30,0,22,1,53,2,2,4,2,10,11,16,0,1,4,21,58737.7733527845
"102",2,5,0,0,5,2,7,2,2,4,2,10,73,79,0,0,4,83,138498.917561951
"103",1,4,4,0,0,1,5,6,1,5,2,7,6,0,0,12,1,13,7451.03864454674
"104",5,0,1,0,3,1,5,5,1,4,2,5,2,2,0,2,3,7,529138.919906015
"105",4,3,0,0,3,4,7,3,2,6,2,7,15,7,6,4,5,22,134948.460882131
"106",3,8,0,0,8,3,11,3,2,4,2,4,4,0,0,4,4,8,78369.1564041681
"107",77,1,0,0,0,78,78,6,2,4,2,1,0,0,0,0,1,1,27309.9012023546
"108",0,0,0,0,0,0,0,5,1,3,2,0,0,0,0,0,0,0,73046.8973439172
"109",3,0,0,0,0,3,3,6,2,6,2,7,6,0,0,6,7,13,406226.890313349
"110",3,2,3,0,0,2,5,2,2,7,2,5,0,0,0,4,1,5,147403.354902034
"111",0,0,0,0,0,0,0,6,2,3,2,0,0,0,0,0,0,0,14088.7261505038
"112",3,0,0,0,0,3,3,3,1,8,2,3,1,0,1,0,3,4,206665.668236195
"113",3,32,31,0,0,4,35,5,2,6,2,0,1,0,0,0,1,1,108981.262453651
"114",0,1,0,0,1,0,1,6,1,2,2,0,0,0,0,0,0,0,11933.7347446845
"115",0,1,0,0,0,1,1,6,2,3,2,0,0,0,0,0,0,0,148307.049207538
"116",1,17,0,0,17,1,18,4,2,5,2,0,1,0,0,0,1,1,24398.6941035416
"117",1,0,0,0,0,1,1,2,2,5,2,4,2,0,0,6,0,6,69787.668071339
"118",4,1,0,1,0,4,5,3,2,8,2,4,2,0,0,2,4,6,15367.3623477598
"119",2,0,0,0,1,1,2,6,1,8,2,0,1,0,0,1,0,1,539957.475859467
"120",2,6,6,0,0,2,8,6,2,3,2,0,3,3,0,0,0,3,24617.7224978222
"121",1,1,1,0,0,1,2,4,2,4,2,1,4,4,0,0,1,5,48032.3205621404
"122",2,4,0,0,3,3,6,6,2,5,2,3,1,0,0,0,4,4,18925.3222398352
"123",0,0,0,0,0,0,0,3,2,3,2,5,4,4,0,0,5,9,20121.453946052
"124",3,20,14,0,2,7,23,6,1,5,2,24,20,2,7,20,15,44,24474.2114625847
"125",2,3,0,0,3,2,5,2,1,5,2,7,20,0,0,26,1,27,92425.0663507484
"126",2,2,0,0,1,3,4,3,2,6,2,1,0,0,0,0,1,1,51380.0902183053
"127",14,3,6,0,10,1,17,3,1,8,2,11,10,8,0,9,4,21,268031.5293261
"128",2,3,0,0,0,5,5,2,1,3,2,3,0,0,0,0,3,3,68325.8697950199
"129",0,1,0,0,0,1,1,5,2,6,2,1,2,0,0,2,1,3,99695.4173751796
"130",1,1,0,0,0,2,2,2,1,2,2,1,4,3,0,0,2,5,60794.3052279053
"131",0,64,60,0,2,2,64,5,2,4,2,0,50,50,0,0,0,50,54429.9975094729
"132",1,1,0,0,0,2,2,5,2,5,2,1,1,0,0,1,1,2,252507.009831835
"133",2,4,0,0,4,2,6,2,1,3,2,2,2,0,0,2,2,4,41214.0545283305
"134",5,2,0,0,2,5,7,6,1,4,2,4,1,0,0,5,0,5,24527.5100271867
"135",1,2,0,0,0,3,3,6,2,2,2,1,0,0,0,0,1,1,53726.9441000382
"136",1,0,0,0,0,1,1,2,2,2,2,1,0,0,0,0,1,1,25220.6793309046
"137",10,15,0,0,25,0,25,6,1,6,2,1,2,0,0,0,3,3,84729.3484580244
"138",3,5,0,0,0,8,8,6,1,4,2,3,0,0,0,0,3,3,539957.475859467
"139",0,5,3,0,1,1,5,6,1,4,2,1,9,8,0,0,2,10,503966.754024673
"140",6,2,1,0,4,3,8,1,2,8,2,4,1,0,0,3,2,5,421584.892117383
"141",2,1,0,0,3,0,3,4,1,5,2,4,5,0,0,7,2,9,97333.632582297
"142",6,6,11,0,0,1,12,5,1,8,4,3,2,0,0,3,2,5,236805.344069727
"143",1,2,0,0,3,0,3,6,2,5,2,0,3,0,0,3,0,3,36504.5025852056
"144",1,2,0,0,3,0,3,6,1,6,2,0,2,0,0,2,0,2,27594.3903864369
"145",0,0,0,0,0,0,0,5,2,3,3,63,32,85,0,10,0,95,127721.552923679
"146",2,3,0,0,3,2,5,2,2,4,2,2,2,0,0,0,4,4,42016.0727912624
"147",1,5,0,0,3,3,6,4,2,8,4,2,17,0,0,14,5,19,527518.497547595
"148",0,11,0,0,10,1,11,5,1,4,2,2,3,0,0,3,2,5,528016.637955316
"149",22,13,0,0,33,2,35,3,2,2,2,0,31,0,0,29,2,31,59222.2889813202
"150",5,0,1,0,3,1,5,6,1,4,1,0,2,0,0,2,0,2,187799.61344461
"151",0,0,0,0,0,0,0,6,1,3,2,0,0,0,0,0,0,0,83410.7624974992
"152",0,2,0,0,0,2,2,3,2,3,2,0,3,0,0,0,3,3,59081.1992620712
"153",4,6,6,0,0,4,10,1,2,1,2,16,0,0,0,12,4,16,42197.3302197331
"154",3,3,3,0,0,3,6,3,2,4,2,5,11,6,0,4,6,16,48420.3684876733
"155",2,0,0,0,2,0,2,4,1,2,2,0,0,0,0,0,0,0,118518.705558094
"156",0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,38906.0352685036
"157",0,7,0,0,3,4,7,6,1,4,2,0,1,0,0,0,1,1,101377.861468654
"158",0,0,0,0,0,0,0,4,2,5,2,4,2,0,0,2,4,6,109727.473010172
"159",0,1,0,0,1,0,1,6,1,1,2,22,20,2,0,0,40,42,28117.7188268967
"160",3,2,0,0,2,3,5,5,1,4,2,3,0,3,0,0,0,3,47271.3528066235
"161",0,0,0,0,0,0,0,5,2,6,2,4,8,12,0,0,0,12,35664.9700664203
"162",1,7,3,0,4,1,8,5,2,6,2,1,0,0,0,0,1,1,37201.5216453405
"163",3,14,0,0,17,0,17,1,2,1,2,13,6,8,0,7,4,19,27015.5462767988
"164",1,0,0,0,0,1,1,4,2,7,2,2,1,0,0,0,3,3,91595.5864582705
"165",1,0,0,0,0,1,1,6,2,1,2,1,0,0,0,0,1,1,88059.9844547988
"166",0,10,0,0,6,4,10,3,1,2,2,145,120,265,0,0,0,265,539957.475859467
"167",0,25,25,0,0,0,25,6,2,4,2,0,2,0,0,0,2,2,61292.4710110294
"168",36,36,0,0,72,0,72,5,1,7,2,0,0,0,0,0,0,0,50771.5886424704
"169",1,2,0,0,2,1,3,5,2,6,2,1,1,0,0,1,1,2,62318.6458881433
"170",4,0,0,0,1,3,4,6,2,2,1,0,1,0,0,0,1,1,240560.617372103
"171",3,2,0,0,1,4,5,4,2,3,2,3,0,0,0,0,3,3,53950.2607736686
"172",1,2,1,0,0,2,3,4,2,1,2,2,0,0,0,0,2,2,119700.647452318
"173",1,13,0,8,3,3,14,1,2,6,2,2,55,49,2,4,2,57,189639.772698041
"174",4,4,0,0,4,4,8,4,2,8,2,4,3,0,0,3,4,7,150987.350220452
"175",7,0,0,0,0,7,7,3,2,8,2,7,0,0,0,0,7,7,96589.9202166141
"176",14,29,23,0,0,20,43,3,1,5,2,10,11,0,0,11,10,21,192564.230517513
"177",0,5,0,0,5,0,5,6,2,3,2,0,3,0,0,3,0,3,14088.7261505038
"178",22,38,0,0,60,0,60,5,2,6,2,15,14,0,0,21,8,29,131294.180100907
"179",1,6,5,0,1,1,7,4,1,3,2,0,4,4,0,0,0,4,82318.4753820567
"180",4,0,1,0,2,1,4,6,1,6,2,3,3,3,0,3,0,6,10439.0641054017
"181",3,0,0,0,0,3,3,3,1,7,4,3,0,0,0,0,3,3,539957.475859467
"182",3,6,2,0,0,7,9,4,1,7,2,2,10,10,0,0,2,12,76612.9595065376
"183",3,6,6,0,0,3,9,3,2,6,2,3,3,3,0,0,3,6,80753.341719182
"184",0,0,0,0,0,0,0,5,2,6,2,1,0,0,0,0,1,1,312380.599380891
"185",1,1,0,0,0,2,2,4,1,5,2,2,0,0,0,0,2,2,72572.8650060776
"186",2,7,0,0,7,2,9,5,2,2,2,3,5,0,0,7,1,8,21755.7293910454
"187",4,15,17,0,0,2,19,5,2,6,2,3,0,0,0,0,3,3,150887.649565122
"188",0,0,0,0,0,0,0,4,1,6,2,0,1,0,0,0,1,1,153651.095630485
"189",0,4,0,0,0,4,4,6,2,3,2,0,6,0,0,6,0,6,24617.7224978222
"190",4,4,4,0,0,4,8,4,2,6,2,16,0,13,0,0,3,16,57828.6601664067
"191",4,6,0,0,8,2,10,2,2,7,2,2,20,18,0,0,4,22,95370.1540706605
"192",37,0,30,0,0,7,37,2,1,7,1,4,14,8,0,2,8,18,453172.801052785
"193",1,0,0,0,0,1,1,6,2,4,2,1,0,0,0,0,1,1,118301.742232588
"194",1,0,0,0,0,1,1,5,1,5,2,1,2,0,0,2,1,3,3448.44203583143
"195",3,10,0,0,10,3,13,5,2,8,2,1,1,0,0,0,2,2,75823.5749696431
"196",1,7,5,0,1,2,8,2,2,4,2,1,5,5,0,0,1,6,56398.1025095868
"197",1,0,0,0,0,1,1,5,1,8,2,1,0,0,0,0,1,1,45575.8258321597
"198",4,1,0,0,0,5,5,3,2,8,2,4,5,0,0,0,9,9,188540.528547599
"199",0,1,1,0,0,0,1,4,1,6,4,0,2,2,0,0,0,2,100121.976570317
"200",5,2,4,0,1,2,7,4,1,8,4,0,6,2,0,4,0,6,345117.171547238
"201",1,4,0,0,3,2,5,6,1,4,2,1,4,0,0,1,4,5,78605.2258117057
"202",0,0,0,0,0,0,0,4,1,1,2,1,0,0,0,0,1,1,150721.105578113
"203",0,1,0,0,0,1,1,2,2,1,1,0,0,0,0,0,0,0,62656.4337445359
"204",0,0,0,0,0,0,0,6,1,4,2,0,2,0,0,2,0,2,25709.0673493223
"205",0,63,60,0,0,3,63,2,2,7,2,2,66,65,0,0,3,68,416956.870903048
"206",0,1,0,0,0,1,1,6,2,4,2,0,0,0,0,0,0,0,34981.0904731581
"207",2,1,0,0,2,1,3,6,1,4,2,1,2,0,0,1,2,3,24959.3650065853
"208",0,0,0,0,0,0,0,6,2,2,3,0,0,0,0,0,0,0,539957.475859467
"209",9,8,0,0,17,0,17,6,1,3,2,0,4,0,0,4,0,4,34062.1548532441
"210",29,3,28,0,0,4,32,3,2,6,2,4,2,0,0,2,4,6,22606.1898141654
"211",1,0,0,0,0,1,1,3,2,3,1,2,0,0,0,0,2,2,65076.464562462
"212",3,5,0,0,5,3,8,3,2,4,2,1,15,15,0,0,1,16,70637.4248816499
"213",3,0,0,0,0,3,3,4,2,3,2,3,3,0,0,3,3,6,18416.3015619037
"214",1,4,0,0,2,3,5,6,1,1,2,0,0,0,0,0,0,0,18578.6098255962
"215",1,2,0,0,2,1,3,6,2,3,2,2,1,0,0,0,3,3,185084.505192524
"216",13,124,124,0,9,4,137,3,1,5,2,4,1,0,0,0,5,5,539957.475859467
"217",4,0,0,0,0,4,4,4,2,6,2,4,2,0,0,2,4,6,539957.475859467
"218",1,7,0,0,6,2,8,6,2,8,2,1,0,0,0,0,1,1,107075.206730796
"219",3,0,0,0,0,3,3,3,2,5,2,3,0,0,0,0,3,3,46027.2657031476
"220",1,23,22,0,1,1,24,2,2,5,2,11,13,17,0,6,1,24,117271.501538318
"221",0,41,41,0,0,0,41,4,2,3,1,0,0,0,0,0,0,0,442526.574141785
"222",13,0,0,0,10,3,13,4,2,6,2,3,3,0,0,2,4,6,43893.5871095495
"223",3,2,0,0,2,3,5,3,2,4,2,45,0,0,0,0,45,45,85293.3675926004
"224",0,0,0,0,0,0,0,6,2,2,2,1,0,0,0,0,1,1,153604.359044416
"225",1,0,0,0,0,1,1,3,1,8,2,2,0,0,0,1,1,2,277659.515880752
"226",11,0,9,0,0,2,11,3,2,3,2,17,3,8,0,10,2,20,25943.4175033578
"227",10,148,145,0,2,11,158,5,2,8,2,3,3,0,0,6,0,6,90893.1835859762
"228",0,16,5,0,10,1,16,2,1,8,2,0,17,12,0,4,1,17,154813.866154854
"229",3,3,0,0,6,0,6,6,1,4,2,0,0,0,0,0,0,0,4742.87023940504
"230",5,0,0,0,0,5,5,6,2,3,2,0,0,0,0,0,0,0,177782.435820418
"231",5,30,34,0,0,1,35,4,2,7,2,1,2,2,0,0,1,3,134097.504864402
"232",37,31,21,0,24,23,68,4,1,3,2,22,44,36,0,22,8,66,7472.77235519588
"233",1,0,0,0,1,0,1,6,1,8,2,5,0,0,0,4,1,5,179139.168169481
"234",0,0,0,0,0,0,0,4,1,7,1,3,5,0,0,8,0,8,199280.561678564
"235",0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,225575.152191033
"236",2,1,0,0,1,2,3,6,1,6,2,3,0,0,0,2,1,3,43700.9556529352
"237",0,6,0,0,6,0,6,6,2,8,2,0,4,0,0,0,4,4,89092.4793695153
"238",1,1,0,0,1,1,2,4,2,5,4,0,2,0,0,2,0,2,45788.3626812092
"239",1,5,0,0,4,2,6,5,1,8,2,1,3,0,0,3,1,4,123391.300476766
"240",0,0,0,0,0,0,0,5,2,4,2,0,0,0,0,0,0,0,14541.7494552305
"241",1,1,0,0,0,2,2,6,2,4,2,1,20,0,0,18,3,21,80557.025509997
"242",0,0,0,0,0,0,0,5,1,1,2,0,0,0,0,0,0,0,75653.3962918919
"243",1,4,0,0,1,4,5,6,1,8,2,1,1,0,0,0,2,2,85832.7087451946
"244",71,127,0,43,23,132,198,5,2,4,3,1,3,0,0,1,3,4,248809.594823466
"245",1,6,4,0,0,3,7,4,1,7,2,2,2,0,0,2,2,4,189313.964002989
"246",0,0,0,0,0,0,0,6,2,4,2,0,1,0,0,0,1,1,56678.4890087866
"247",0,0,0,0,0,0,0,2,1,1,4,0,4,0,0,0,4,4,156196.846476467
"248",2,4,0,0,0,6,6,2,2,5,2,2,1,0,0,1,2,3,52619.2433475878
"249",3,5,5,0,0,3,8,2,1,5,2,3,10,10,0,0,3,13,113710.500391733
"250",21,10,30,0,0,1,31,2,2,2,2,22,16,27,0,10,1,38,196246.568214271
"251",2,7,0,0,7,2,9,5,1,8,2,5,24,25,0,1,3,29,96815.9840562993
"252",6,0,0,0,6,0,6,6,1,6,2,8,9,0,0,11,6,17,151502.286223852
"253",0,1,0,0,1,0,1,5,2,4,2,0,0,0,0,0,0,0,95639.6780398933
"254",0,3,0,0,0,3,3,1,1,6,2,9,0,0,0,6,3,9,244222.28303862
"255",0,2,0,0,0,2,2,6,2,3,2,0,0,0,0,0,0,0,43050.8467941012
"256",0,7,6,0,1,0,7,4,1,4,2,0,7,7,0,0,0,7,177202.707992016
"257",1,0,0,0,0,1,1,6,2,5,3,1,6,0,0,4,3,7,467839.641402906
"258",3,0,0,0,0,3,3,3,2,6,2,3,2,0,0,2,3,5,71061.449019473
"259",0,4,0,0,2,2,4,6,1,4,2,0,0,0,0,0,0,0,72476.1508291641
"260",0,4,0,0,4,0,4,6,2,3,2,0,0,0,0,0,0,0,49129.4102928083
"261",2,1,0,0,0,3,3,5,2,2,2,0,6,4,0,0,2,6,50717.7519492567
"262",2,0,0,0,1,1,2,4,2,3,2,21,0,21,0,0,0,21,25745.6843364139
"263",3,6,0,0,6,3,9,5,2,3,2,0,3,0,0,0,3,3,134584.587154045
"264",4,2,0,0,6,0,6,5,1,2,2,4,2,1,0,5,0,6,10164.9483854312
"265",847,0,842,0,4,1,847,2,2,3,2,12,273,277,0,0,8,285,378110.156299239
"266",2,4,0,0,4,2,6,6,2,6,2,1,0,0,0,0,1,1,64937.3189801233
"267",0,0,0,0,0,0,0,5,2,3,2,0,2,0,0,2,0,2,12987.1594134867
"268",1,1,0,0,1,1,2,4,2,7,2,26,57,80,0,0,3,83,91142.7440167198
"269",4,3,0,0,1,6,7,4,1,1,1,1,3,0,0,3,1,4,355623.624141357
"270",1,10,10,0,0,1,11,4,1,6,2,20,21,29,0,11,1,41,40435.1014187876
"271",0,0,0,0,0,0,0,5,2,4,2,1,0,0,0,0,1,1,25299.8009937157
"272",3,0,0,0,0,3,3,4,2,4,2,3,0,0,0,0,3,3,38487.9961818076
"273",0,0,0,0,0,0,0,5,1,4,2,0,0,0,0,0,0,0,20091.3868293824
"274",4,4,0,0,5,3,8,2,2,2,2,2,1,0,0,2,1,3,65017.9498722929
"275",4,0,0,0,0,4,4,5,2,5,2,3,36,32,0,3,4,39,25085.5155575597
"276",5,2,0,0,3,4,7,6,2,5,2,2,6,0,0,0,8,8,380892.442917989
"277",0,0,0,0,0,0,0,5,1,7,3,0,1,0,0,1,0,1,462033.026635747
"278",0,0,0,0,0,0,0,5,1,3,2,0,2,0,0,2,0,2,56322.7986278978
"279",2,10,11,0,0,1,12,2,2,4,1,0,2,0,0,0,2,2,518753.392527162
"280",15,0,13,0,1,1,15,5,2,4,2,9,36,43,0,0,2,45,347565.168596779
"281",12,1,2,0,0,11,13,5,1,1,2,1,1,0,0,1,1,2,13013.2627382525
"282",63,48,0,0,48,63,111,5,1,6,2,1,0,0,0,0,1,1,157880.607274543
"283",7,0,0,0,3,4,7,4,2,6,2,3,2,0,0,1,4,5,28378.7782733153
"284",0,0,0,0,0,0,0,3,1,3,4,0,0,0,0,0,0,0,539957.475859467
"285",7,14,20,0,0,1,21,2,2,7,2,0,15,11,0,4,0,15,328109.726546048
"286",1,0,0,0,0,1,1,6,1,5,2,10,0,0,0,0,10,10,30264.0056469846
"287",0,6,5,0,0,1,6,5,1,6,2,1,0,0,0,0,1,1,68204.0634937051
"288",5,1,6,0,0,0,6,3,1,2,1,15,20,35,0,0,0,35,227231.594260581
"289",0,1,0,0,0,1,1,5,2,7,2,5,3,0,0,8,0,8,131251.888603755
"290",3,2,0,0,0,5,5,1,2,4,2,4,1,0,0,0,5,5,123880.975647452
"291",1,3,0,0,3,1,4,6,1,6,2,1,0,0,0,0,1,1,33695.6149348611
"292",1,0,0,0,1,0,1,5,2,3,2,1,0,0,0,1,0,1,21755.6205441751
"293",3,4,0,0,4,3,7,5,2,4,2,0,1,0,0,0,1,1,102812.927304368
"294",0,4,4,0,0,0,4,6,2,3,2,0,0,0,0,0,0,0,19726.0261093402
"295",3,3,0,0,0,6,6,4,1,3,2,2,9,9,0,0,2,11,47691.2467882509
"296",4,11,10,0,0,5,15,4,1,4,2,4,0,0,0,0,4,4,217110.696232363
"297",1,1,0,0,1,1,2,2,1,3,2,1,0,0,0,0,1,1,136826.42404077
